ID,Date
G368,2014.502
G401,2014.483
G553,2014.637
G566,2014.85
G1099,2015.192
G1163,2015.633
G1288,2015.669
G1411,2015.981
G201,2014.346
G621,2014.94
G637,2015.129
G882,2015.162
G1008,2015.595
G1011,2015.518
G1449,2015.595
G1571,2016.189
G1603,2016.331
G1610,2016.359
G1732,2016.055
G1823,2016.745
G04,2014.105
G77,2013.944
G145,2014.212
G258,2014.637
G1246,2015.671
G1308,2015.844
G1577,2016.227
G99,2014.423
G108,2014.371
G260,2014.719
G1320,2015.817
G1350,2015.975
G1839,2016.857
G114,2014.33
G679,2015.102
G813,2015.151
G815,2015.151
G1330,2015.877
G249,2013.722
G562,2014.404
G909,2015.389
G1590,2013.07
G1788,2016.816
G693,2015.17
G764,2015.135
G1261,2014.888
G1432,2015.822
G788,2013.229
G839,2014.998
G850,2015.154
G1015,2015.543
G76,2014.22
G405,2014.738
G1180,2015.617
G1181,2015.619
G1446,2016.167
G1965,2016.329
G446,2014.064
G837,2015.326
G881,2015.124
G932,2015.515
G1188,2014.921
G1567,2016.416
G465,2014.136
G497,2014.313
G500,2014.313
G2102,2016.709
G623,2014.768
G778,2015.368
G917,2015.444
G1303,2015.863
G1570,2016.11
G1578,2016.112
G19,2014.094
G940,2015.34
G1156,2015.573
G1440,2016.088
G130,2014.475
G552,2013.99
G830,2015.269
G1644,2016.509
G125,2014.059
G147,2014.251
G1342,2015.841
G1588,2016.43
G1676,2016.709
G1792,2016.704
G1829,2016.4
G271,2014.842
G1090,2014.965
G1775,2015.926
G1842,2016.92
G2059,2016.975
G146,2013.489
G1141,2015.441
G1747,2016.03
G1761,2016.712
G538,2014.845
G848,2015.19
G1648,2016.52
G1653,2016.515
G1785,2016.63
G545,2013.793
G1058,2015.54
G1544,2016.32
G1630,2016.331
G1701,2016.539
G63,2014.346
G78,2014.133
G536,2014.795
G733,2015.179
G1889,2017.029
G1939,2016.972
G871,2015.077
G1494,2016.192
G1495,2016.263
G1621,2016.539
